TERM,SubCategory,2025,2026,Total_2025_2026
1-glutathione peroxidase,Inflammation & Immunity,0,1,1
1-gpx4 signaling pathway,Inflammation & Immunity,0,1,1
1-hour exposure,Animal Models,1,0,1
2-h postprandial glucose,Inflammation & Immunity,0,1,1
3 phosphorylation,Inflammation & Immunity,0,1,1
7nachr agonist,Inflammation & Immunity,0,1,1
7nachr axis,Inflammation & Immunity,1,0,1
7nachr inhibitor,Inflammation & Immunity,0,1,1
7nachr-dependent mechanism,Inflammation & Immunity,0,1,1
7nachr-mediated activation,Inflammation & Immunity,0,1,1
7nachr-mediated anti-inflammatory pathway,Inflammation & Immunity,0,1,1
7nachr-mediated pro-myelination axis,Inflammation & Immunity,0,1,1
[c-11]ucb-j,Inflammation & Immunity,1,0,1
aav-shalk5 injection,Inflammation & Immunity,0,1,1
absorption glycerophospholipid metabolism,Inflammation & Immunity,1,0,1
acceptable level,Inflammation & Immunity,2,0,2
acetyltransferase deletion,Inflammation & Immunity,1,0,1
activating specific glutamatergic neurons,Inflammation & Immunity,1,0,1
acute coronary syndrome,Autonomic & Cardiovascular,0,1,1
acute ischaemic stroke,Stroke & Brain Injury,1,0,1
acute mental stress,Autonomic & Cardiovascular,3,0,3
acute mental stress-induced sympathetic arousal,Autonomic & Cardiovascular,1,0,1
acute mental stressors,Autonomic & Cardiovascular,1,0,1
acute myocardial infarction,Autonomic & Cardiovascular,1,0,1
acute phase post-reperfusion,Stroke & Brain Injury,0,1,1
acute st-segment elevation,Autonomic & Cardiovascular,0,1,1
acute st-segment elevation myocardial infarction,Autonomic & Cardiovascular,0,1,1
acute stress condition,Autonomic & Cardiovascular,1,0,1
acute stress paradigm,Autonomic & Cardiovascular,1,0,1
acute stress-induced cardiovascular arousal,Autonomic & Cardiovascular,1,0,1
acute stress-induced memory deficits,Autonomic & Cardiovascular,1,0,1
acute sympathetic stress response,Autonomic & Cardiovascular,1,0,1
addressing acute mental stress-induced arousal,Autonomic & Cardiovascular,1,0,1
adhd model,Animal Models,1,0,1
adhd model group,Animal Models,1,0,1
adhd model rats,Animal Models,1,0,1
adhd model rats behavior,Animal Models,1,0,1
adipose tissue,Inflammation & Immunity,2,0,2
adipose tissue browning,Inflammation & Immunity,1,0,1
adult male mice,Animal Models,1,0,1
adverse events heart rate,Autonomic & Cardiovascular,1,0,1
akkermansia muciniphila,Animal Models,0,1,1
alanine aminotransferase,Inflammation & Immunity,1,0,1
alk5 expression,Inflammation & Immunity,0,1,1
alk5 phosphorylation,Inflammation & Immunity,0,1,1
alk5-dependent manner,Inflammation & Immunity,0,1,1
alpha 7nachrs,Inflammation & Immunity,1,0,1
alpha interleukin,Inflammation & Immunity,1,0,1
alpha-2a adrenergic receptors,Inflammation & Immunity,0,1,1
alpha-7 nicotinic acetylcholine receptor,Inflammation & Immunity,1,0,1
alpha-amylase,Inflammation & Immunity,1,0,1
alpha7nachr,Inflammation & Immunity,0,1,1
altered interoception,Autonomic & Cardiovascular,1,0,1
altering cardiac resident macrophage function,Inflammation & Immunity,1,0,1
altering protein level,Inflammation & Immunity,1,0,1
ameliorating intestinal inflammatory microenvironment,Inflammation & Immunity,1,0,1
ameliorating obesity,Inflammation & Immunity,0,1,1
amino acid metabolism,Inflammation & Immunity,1,0,1
aneurysm,Stroke & Brain Injury,1,0,1
antagonist administration,Inflammation & Immunity,1,0,1
antagonist methyllycaconitine,Inflammation & Immunity,1,0,1
anterior circulation lvo,Stroke & Brain Injury,1,0,1
